{ 09 41 A0 53 23 00 3F 1F 00 00 00 00 00 }, Delta:0.140ms, Position:[9043,7999], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 1C 23 00 F4 1E 00 00 00 00 00 }, Delta:0.176ms, Position:[8988,7924], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 E3 22 00 B0 1E 00 00 00 00 00 }, Delta:0.157ms, Position:[8931,7856], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 A7 22 00 6F 1E 00 00 00 00 00 }, Delta:0.390ms, Position:[8871,7791], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 69 22 00 34 1E 00 00 00 00 00 }, Delta:0.747ms, Position:[8809,7732], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 2B 22 00 02 1E 00 00 00 00 00 }, Delta:22.722ms, Position:[8747,7682], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 ED 21 00 D9 1D 00 00 00 00 00 }, Delta:0.447ms, Position:[8685,7641], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 AF 21 00 BB 1D 00 00 00 00 00 }, Delta:0.490ms, Position:[8623,7611], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 72 21 00 A8 1D 00 00 00 00 00 }, Delta:0.535ms, Position:[8562,7592], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 36 21 00 A1 1D 00 00 00 00 00 }, Delta:0.787ms, Position:[8502,7585], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 FA 20 00 A5 1D 00 00 00 00 00 }, Delta:0.666ms, Position:[8442,7589], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 BC 20 00 B4 1D 00 00 00 00 00 }, Delta:2.100ms, Position:[8380,7604], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 80 20 00 CD 1D 00 00 00 00 00 }, Delta:3.857ms, Position:[8320,7629], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 45 20 00 EE 1D 00 00 00 00 00 }, Delta:2.247ms, Position:[8261,7662], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 0A 20 00 17 1E 00 00 00 00 00 }, Delta:22.102ms, Position:[8202,7703], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 D1 1F 00 46 1E 00 00 00 00 00 }, Delta:0.631ms, Position:[8145,7750], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 95 1F 00 7A 1E 00 00 00 00 00 }, Delta:0.545ms, Position:[8085,7802], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 5A 1F 00 B3 1E 00 00 00 00 00 }, Delta:0.658ms, Position:[8026,7859], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 20 1F 00 EF 1E 00 00 00 00 00 }, Delta:0.142ms, Position:[7968,7919], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 E8 1E 00 2F 1F 00 00 00 00 00 }, Delta:0.346ms, Position:[7912,7983], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 B3 1E 00 71 1F 00 00 00 00 00 }, Delta:1.531ms, Position:[7859,8049], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 84 1E 00 BA 1F 00 00 00 00 00 }, Delta:4.137ms, Position:[7812,8122], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 57 1E 00 04 20 00 00 00 00 00 }, Delta:3.232ms, Position:[7767,8196], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 2F 1E 00 56 20 00 00 00 00 00 }, Delta:3.257ms, Position:[7727,8278], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 10 1E 00 AA 20 00 00 00 00 00 }, Delta:17.938ms, Position:[7696,8362], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 F8 1D 00 06 21 00 00 00 00 00 }, Delta:0.456ms, Position:[7672,8454], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 E6 1D 00 64 21 00 00 00 00 00 }, Delta:2.506ms, Position:[7654,8548], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 DD 1D 00 C7 21 00 00 00 00 00 }, Delta:0.796ms, Position:[7645,8647], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 DB 1D 00 2E 22 00 00 00 00 00 }, Delta:0.567ms, Position:[7643,8750], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 DF 1D 00 95 22 00 00 00 00 00 }, Delta:0.456ms, Position:[7647,8853], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 EC 1D 00 FC 22 00 00 00 00 00 }, Delta:2.978ms, Position:[7660,8956], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 02 1E 00 66 23 00 00 00 00 00 }, Delta:3.104ms, Position:[7682,9062], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 1F 1E 00 D2 23 00 00 00 00 00 }, Delta:4.014ms, Position:[7711,9170], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 43 1E 00 41 24 00 00 00 00 00 }, Delta:19.936ms, Position:[7747,9281], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 6F 1E 00 B2 24 00 00 00 00 00 }, Delta:0.593ms, Position:[7791,9394], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 A0 1E 00 26 25 00 00 00 00 00 }, Delta:0.765ms, Position:[7840,9510], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 DA 1E 00 9B 25 00 00 00 00 00 }, Delta:1.022ms, Position:[7898,9627], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 19 1F 00 11 26 00 00 00 00 00 }, Delta:0.758ms, Position:[7961,9745], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 5E 1F 00 86 26 00 00 00 00 00 }, Delta:1.291ms, Position:[8030,9862], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 A4 1F 00 F5 26 00 00 00 00 00 }, Delta:3.179ms, Position:[8100,9973], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 F0 1F 00 5E 27 00 00 00 00 00 }, Delta:3.246ms, Position:[8176,10078], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 3A 20 00 BA 27 00 00 00 00 00 }, Delta:1.298ms, Position:[8250,10170], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 88 20 00 0A 28 00 00 00 00 00 }, Delta:21.591ms, Position:[8328,10250], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 D7 20 00 48 28 00 3E 01 00 00 }, Delta:0.811ms, Position:[8407,10312], Pressure:318, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 26 21 00 7D 28 00 3B 01 00 00 }, Delta:0.830ms, Position:[8486,10365], Pressure:315, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 72 21 00 A0 28 00 36 01 00 00 }, Delta:0.577ms, Position:[8562,10400], Pressure:310, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 BF 21 00 B9 28 00 32 01 00 00 }, Delta:0.564ms, Position:[8639,10425], Pressure:306, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 0A 22 00 C3 28 00 2C 01 00 00 }, Delta:0.526ms, Position:[8714,10435], Pressure:300, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 52 22 00 C3 28 00 24 01 00 00 }, Delta:1.639ms, Position:[8786,10435], Pressure:292, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 96 22 00 BC 28 00 16 01 00 00 }, Delta:2.472ms, Position:[8854,10428], Pressure:278, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 D9 22 00 AB 28 00 06 01 00 00 }, Delta:3.041ms, Position:[8921,10411], Pressure:262, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 13 23 00 93 28 00 F5 00 00 00 }, Delta:32.491ms, Position:[8979,10387], Pressure:245, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 49 23 00 6E 28 00 EA 00 00 00 }, Delta:0.237ms, Position:[9033,10350], Pressure:234, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 78 23 00 3F 28 00 DE 00 00 00 }, Delta:0.450ms, Position:[9080,10303], Pressure:222, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 A0 23 00 04 28 00 CF 00 00 00 }, Delta:0.397ms, Position:[9120,10244], Pressure:207, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 C3 23 00 BA 27 00 C0 00 00 00 }, Delta:0.199ms, Position:[9155,10170], Pressure:192, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 DE 23 00 5F 27 00 AD 00 00 00 }, Delta:0.299ms, Position:[9182,10079], Pressure:173, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 F2 23 00 F1 26 00 9D 00 00 00 }, Delta:0.331ms, Position:[9202,9969], Pressure:157, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 FC 23 00 75 26 00 90 00 00 00 }, Delta:0.158ms, Position:[9212,9845], Pressure:144, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 02 24 00 F2 25 00 7F 00 00 00 }, Delta:0.115ms, Position:[9218,9714], Pressure:127, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 FF 23 00 66 25 00 00 00 00 00 }, Delta:1.541ms, Position:[9215,9574], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 F6 23 00 D2 24 00 00 00 00 00 }, Delta:31.736ms, Position:[9206,9426], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 E6 23 00 35 24 00 00 00 00 00 }, Delta:0.338ms, Position:[9190,9269], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 CD 23 00 98 23 00 00 00 00 00 }, Delta:0.212ms, Position:[9165,9112], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A0 AD 23 00 F7 22 00 00 00 00 00 }, Delta:0.166ms, Position:[9133,8951], Pressure:0, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 86 23 00 5F 22 00 7A 00 00 00 }, Delta:0.186ms, Position:[9094,8799], Pressure:122, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 5D 23 00 CB 21 00 7C 00 00 00 }, Delta:0.257ms, Position:[9053,8651], Pressure:124, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 2E 23 00 42 21 00 7F 00 00 00 }, Delta:0.443ms, Position:[9006,8514], Pressure:127, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 FB 22 00 BC 20 00 85 00 00 00 }, Delta:0.859ms, Position:[8955,8380], Pressure:133, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 C3 22 00 41 20 00 8D 00 00 00 }, Delta:0.772ms, Position:[8899,8257], Pressure:141, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 89 22 00 D3 1F 00 94 00 00 00 }, Delta:0.535ms, Position:[8841,8147], Pressure:148, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 4F 22 00 71 1F 00 97 00 00 00 }, Delta:4.962ms, Position:[8783,8049], Pressure:151, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 14 22 00 1D 1F 00 9D 00 00 00 }, Delta:0.777ms, Position:[8724,7965], Pressure:157, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 D9 21 00 D4 1E 00 A2 00 00 00 }, Delta:5.977ms, Position:[8665,7892], Pressure:162, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 9B 21 00 92 1E 00 A4 00 00 00 }, Delta:3.457ms, Position:[8603,7826], Pressure:164, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 5D 21 00 54 1E 00 A2 00 00 00 }, Delta:17.091ms, Position:[8541,7764], Pressure:162, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 1F 21 00 1F 1E 00 9B 00 00 00 }, Delta:0.758ms, Position:[8479,7711], Pressure:155, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 E0 20 00 F1 1D 00 8B 00 00 00 }, Delta:0.316ms, Position:[8416,7665], Pressure:139, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 9E 20 00 C8 1D 00 7A 00 00 00 }, Delta:0.983ms, Position:[8350,7624], Pressure:122, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 5B 20 00 A5 1D 00 6C 00 00 00 }, Delta:0.332ms, Position:[8283,7589], Pressure:108, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 19 20 00 86 1D 00 5E 00 00 00 }, Delta:2.012ms, Position:[8217,7558], Pressure:94, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 D4 1F 00 6D 1D 00 58 00 00 00 }, Delta:4.004ms, Position:[8148,7533], Pressure:88, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 8C 1F 00 59 1D 00 52 00 00 00 }, Delta:2.326ms, Position:[8076,7513], Pressure:82, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 42 1F 00 4C 1D 00 59 00 00 00 }, Delta:2.263ms, Position:[8002,7500], Pressure:89, PenButtons:[False False], ReportType:VeikkTabletReport
{ 09 41 A1 F6 1E 00 43 1D 00 66 00 00 00 }, Delta:4.636ms, Position:[7926,7491], Pressure:102, PenButtons:[False False], ReportType:VeikkTabletReport
